{'loss': 1.3075, 'grad_norm': 3.0037996768951416, 'learning_rate': 6e-06, 'num_tokens': 35712.0, 'mean_token_accuracy': 0.6477494835853577, 'epoch': 0.07}
{'loss': 2.2667, 'grad_norm': 3.074779510498047, 'learning_rate': 5.8e-06, 'num_tokens': 36224.0, 'mean_token_accuracy': 0.5107632279396057, 'epoch': 0.07}
{'loss': 2.1406, 'grad_norm': 3.351207733154297, 'learning_rate': 5.600000000000001e-06, 'num_tokens': 36736.0, 'mean_token_accuracy': 0.5694715976715088, 'epoch': 0.07}
{'loss': 2.2767, 'grad_norm': 3.4216907024383545, 'learning_rate': 5.400000000000001e-06, 'num_tokens': 37248.0, 'mean_token_accuracy': 0.5068492889404297, 'epoch': 0.07}
{'loss': 3.3025, 'grad_norm': 3.172133445739746, 'learning_rate': 5.2e-06, 'num_tokens': 37760.0, 'mean_token_accuracy': 0.3581213355064392, 'epoch': 0.07}
{'loss': 2.3697, 'grad_norm': 3.8932390213012695, 'learning_rate': 5e-06, 'num_tokens': 38272.0, 'mean_token_accuracy': 0.5420743823051453, 'epoch': 0.07}
{'loss': 1.5914, 'grad_norm': 2.8388750553131104, 'learning_rate': 4.800000000000001e-06, 'num_tokens': 38784.0, 'mean_token_accuracy': 0.6046966910362244, 'epoch': 0.08}
{'loss': 1.5611, 'grad_norm': 3.1445322036743164, 'learning_rate': 4.600000000000001e-06, 'num_tokens': 39296.0, 'mean_token_accuracy': 0.6105675101280212, 'epoch': 0.08}
{'loss': 1.7606, 'grad_norm': 4.614605903625488, 'learning_rate': 4.4e-06, 'num_tokens': 39608.0, 'mean_token_accuracy': 0.6334404945373535, 'epoch': 0.08}
{'loss': 1.4099, 'grad_norm': 3.3892552852630615, 'learning_rate': 4.2000000000000004e-06, 'num_tokens': 40120.0, 'mean_token_accuracy': 0.6477494835853577, 'epoch': 0.08}
{'loss': 1.5225, 'grad_norm': 3.233137845993042, 'learning_rate': 4.000000000000001e-06, 'num_tokens': 40632.0, 'mean_token_accuracy': 0.5792563557624817, 'epoch': 0.08}
{'loss': 2.173, 'grad_norm': 6.671959400177002, 'learning_rate': 3.8000000000000005e-06, 'num_tokens': 40840.0, 'mean_token_accuracy': 0.5893719792366028, 'epoch': 0.08}
{'loss': 2.1195, 'grad_norm': 3.4121761322021484, 'learning_rate': 3.6000000000000003e-06, 'num_tokens': 41352.0, 'mean_token_accuracy': 0.5166340470314026, 'epoch': 0.08}
{'loss': 1.5698, 'grad_norm': 3.2477200031280518, 'learning_rate': 3.4000000000000005e-06, 'num_tokens': 41864.0, 'mean_token_accuracy': 0.587084174156189, 'epoch': 0.08}
{'loss': 1.6284, 'grad_norm': 3.356170177459717, 'learning_rate': 3.2000000000000003e-06, 'num_tokens': 42376.0, 'mean_token_accuracy': 0.5909980535507202, 'epoch': 0.08}
{'loss': 1.3061, 'grad_norm': 4.6912617683410645, 'learning_rate': 3e-06, 'num_tokens': 42888.0, 'mean_token_accuracy': 0.6183953285217285, 'epoch': 0.08}
{'loss': 1.6042, 'grad_norm': 2.938009023666382, 'learning_rate': 2.8000000000000003e-06, 'num_tokens': 43400.0, 'mean_token_accuracy': 0.6340509057044983, 'epoch': 0.08}
{'loss': 1.8955, 'grad_norm': 3.358286142349243, 'learning_rate': 2.6e-06, 'num_tokens': 43912.0, 'mean_token_accuracy': 0.557729959487915, 'epoch': 0.09}
